f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,SNK_HX,178450.3,158.17
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,OK,SRC_HX,121442.4,107.64
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,COMP1,185305.3,164.25
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,COMP2,271592.5,240.73
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,IHX,231533.0,205.22
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,SNK_HX,179819.7,159.39
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,OK,SRC_HX,125495.2,111.23
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,COMP1,313055.8,277.48
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,COMP2,417630.3,370.17
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,IHX,192044.0,170.22
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,SNK_HX,175773.8,155.8
R290,R600,R290/R600,0.4,20.0,100.0,2.173,0.495,OK,SRC_HX,110672.3,98.1
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,COMP1,272590.5,241.62
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,COMP2,364251.5,322.86
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,IHX,203126.0,180.04
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,SNK_HX,177001.5,156.89
R290,R600,R290/R600,0.4,30.0,100.0,2.362,0.477,OK,SRC_HX,114345.7,101.35
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,COMP1,240897.4,213.52
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,COMP2,319967.0,283.61
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,IHX,213281.7,189.05
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,SNK_HX,178246.2,157.99
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,OK,SRC_HX,118044.1,104.63
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,COMP1,215803.0,191.28
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,COMP2,282715.3,250.59
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,IHX,222937.7,197.6
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,SNK_HX,179441.0,159.05
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,OK,SRC_HX,121836.8,107.99
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,COMP1,195923.4,173.66
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,COMP2,251016.0,222.49
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,IHX,233301.9,206.79
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,MOT1,0.0,0.0
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,MOT2,0.0,0.0
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,SNK_HX,180540.2,160.02
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,OK,SRC_HX,125859.2,111.56
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,COMP1,350585.8,310.75
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,COMP2,348596.2,308.98
R290,R600,R290/R600,0.5,20.0,100.0,2.142,0.488,OK,IHX,194226.5,172.16
